threshold,precision,recall,f1
0.0,0.05365622032288699,1.0,0.10184767913474539
0.004,0.054374093765103916,0.995575221238938,0.10311640696608616
0.008,0.061993856464674674,0.9823008849557522,0.11662726556343578
0.012,0.06628844431173485,0.9823008849557522,0.1241958041958042
0.016,0.06940954773869347,0.9778761061946902,0.12961876832844574
0.02,0.0715452466514211,0.9690265486725663,0.13325220565865528
0.024,0.07450444292549556,0.9646017699115044,0.1383248730964467
0.028,0.07727920227920228,0.9601769911504425,0.14304548450889912
0.032,0.08059701492537313,0.9557522123893806,0.14865794907088783
0.036,0.08441303494307027,0.9513274336283186,0.1550667147493689
0.04,0.08801652892561984,0.9424778761061947,0.16099773242630386
0.044,0.09278803869832894,0.9336283185840708,0.1688
0.048,0.09929411764705882,0.9336283185840708,0.17949808592088473
0.052,0.10180224062347784,0.9247787610619469,0.1834137779727951
0.056,0.10547667342799188,0.9203539823008849,0.18926296633303002
0.06,0.1093011035207567,0.9203539823008849,0.1953968999530296
0.064,0.11147540983606558,0.9026548672566371,0.19844357976653695
0.068,0.1143661971830986,0.8982300884955752,0.20289855072463767
0.072,0.11747516072472239,0.8893805309734514,0.2075374290139391
0.076,0.12233718807060255,0.8893805309734514,0.21508828250401285
0.08,0.12586532410320955,0.8849557522123894,0.22038567493112945
0.084,0.12989556135770236,0.8805309734513275,0.2263936291240046
0.088,0.13221476510067115,0.8716814159292036,0.2296037296037296
0.092,0.13449477351916375,0.8539823008849557,0.23239012642986154
0.096,0.1377072819033886,0.8451327433628318,0.23682579045257285
0.1,0.14053254437869822,0.8407079646017699,0.24081115335868186
0.104,0.14394516374714394,0.8362831858407079,0.2456140350877193
0.108,0.1481191222570533,0.8362831858407079,0.25166444740346205
0.112,0.1529698942229455,0.831858407079646,0.25841924398625427
0.116,0.15378151260504203,0.8097345132743363,0.2584745762711865
0.12,0.1566579634464752,0.7964601769911505,0.26181818181818184
0.124,0.16021602160216022,0.7876106194690266,0.26626776364996263
0.128,0.16448598130841122,0.7787610619469026,0.2716049382716049
0.132,0.16874400767018216,0.7787610619469026,0.27738376674546883
0.136,0.1736111111111111,0.7743362831858407,0.2836304700162074
0.14,0.17893660531697342,0.7743362831858407,0.29069767441860467
0.144,0.18373812038014783,0.7699115044247787,0.2966751918158568
0.148,0.18831168831168832,0.7699115044247787,0.3026086956521739
0.152,0.1922222222222222,0.7654867256637168,0.3072824156305506
0.156,0.19314285714285714,0.7477876106194691,0.3069936421435059
0.16,0.1983568075117371,0.7477876106194691,0.313543599257885
0.164,0.19879518072289157,0.7300884955752213,0.3125
0.168,0.20270270270270271,0.7300884955752213,0.3173076923076923
0.172,0.2037735849056604,0.7168141592920354,0.31733594515181196
0.176,0.2050955414012739,0.7123893805309734,0.3184965380811078
0.18,0.20860495436766624,0.7079646017699115,0.3222557905337362
0.184,0.21390374331550802,0.7079646017699115,0.32854209445585214
0.188,0.2190082644628099,0.7035398230088495,0.33403361344537813
0.192,0.22284908321579688,0.6991150442477876,0.33796791443850266
0.196,0.22603719599427755,0.6991150442477876,0.34162162162162163
0.2,0.22740524781341107,0.6902654867256637,0.3421052631578947
0.204,0.23179791976225855,0.6902654867256637,0.34705228031145713
0.208,0.23511450381679388,0.6814159292035398,0.3496027241770715
0.212,0.23875968992248062,0.6814159292035398,0.35361653272101035
0.216,0.24208860759493672,0.6769911504424779,0.3566433566433567
0.22,0.24358974358974358,0.672566371681416,0.35764705882352943
0.224,0.24713584288052373,0.668141592920354,0.3608124253285544
0.228,0.25,0.668141592920354,0.363855421686747
0.232,0.2546689303904924,0.6637168141592921,0.36809815950920244
0.236,0.2613240418118467,0.6637168141592921,0.37500000000000006
0.24,0.26559714795008915,0.6592920353982301,0.37865311308767474
0.244,0.26582278481012656,0.6504424778761062,0.3774069319640565
0.248,0.26752767527675275,0.6415929203539823,0.3776041666666667
0.252,0.26779026217228463,0.6327433628318584,0.3763157894736842
0.256,0.27307692307692305,0.6283185840707964,0.3806970509383378
0.26,0.27647058823529413,0.6238938053097345,0.38315217391304346
0.264,0.28256513026052105,0.6238938053097345,0.38896551724137934
