model,split,feature_set,label_col,threshold,p_debt,r_debt,f1_debt,f1_macro,f1_weighted,f1_micro,mcc,balanced_acc,roc_auc,pr_auc_debt,specificity,tn,fp,fn,tp,n_samples,imbalance,phase,tuned_threshold,threshold_objective
rf,lopo_scrapy/val,all,label_llm,0.176,0.3723404255319149,0.47297297297297297,0.4166666666666667,0.6846274794388002,0.9170999698035283,0.9123042505592841,0.37307730939468925,0.7082162421165775,0.8228269596860875,0.3514721729097397,0.9434595112601821,1969,118,78,70,2235,class_weight,val,0.176,f1
rf,lopo_scrapy/test,all,label_llm,0.176,0.3315858453473132,0.5685393258426966,0.41887417218543044,0.6776896186542203,0.8989405270673638,0.8855185909980431,0.37637625677692277,0.7394305561866903,0.81640030584242,0.4126698498281969,0.910321786530684,5177,510,192,253,6132,class_weight,test,0.176,f1
lgbm,lopo_scrapy/val,all,label_llm,0.2691616890292013,0.39849624060150374,0.3581081081081081,0.37722419928825623,0.6677240595390912,0.9197505602220302,0.9217002237136466,0.3361206480584032,0.6598877866846242,0.7635054196506041,0.30383315938439837,0.9616674652611404,2007,80,95,53,2235,class_weight,val,0.2691616890292013,f1
lgbm,lopo_scrapy/test,all,label_llm,0.2691616890292013,0.20470756062767476,0.6449438202247191,0.31077422847861397,0.5942850695047385,0.8366470767876714,0.7924005218525767,0.27729998159914143,0.7244413140159994,0.780540084521568,0.38215276818029786,0.8039388078072798,4572,1115,158,287,6132,class_weight,test,0.2691616890292013,f1
xgb,lopo_scrapy/val,all,label_llm,0.08694260567426682,0.35,0.3783783783783784,0.36363636363636365,0.6582718098816129,0.9138861858411378,0.9123042505592841,0.3168978804621628,0.6642730416089304,0.7599020318833449,0.3051312200976495,0.9501677048394825,1983,104,92,56,2235,class_weight,val,0.08694260567426682,f1
xgb,lopo_scrapy/test,all,label_llm,0.08694260567426682,0.21048451151707703,0.5955056179775281,0.31103286384976525,0.5999293107127615,0.8468952556664184,0.8085453359425963,0.27021208039740235,0.7103605107647444,0.7617785882645813,0.3414761903082855,0.8252154035519607,4693,994,180,265,6132,class_weight,test,0.08694260567426682,f1
rf,lopo_scrapy/val,no_maturity,label_llm,0.3206666666666667,0.39226519337016574,0.4797297297297297,0.4316109422492401,0.6932263839476096,0.9201938745306694,0.916331096196868,0.3892273310957104,0.713511247231899,0.8124409148007615,0.38050983968733665,0.9472927647340681,1977,110,77,71,2235,none,val,0.3206666666666667,f1
rf,lopo_scrapy/test,no_maturity,label_llm,0.3206666666666667,0.42930591259640105,0.3752808988764045,0.40047961630695444,0.678367542186723,0.9159227456214503,0.918460534898891,0.35787602108907846,0.6681222500360571,0.7982979118549501,0.3945429032782022,0.9609636011957096,5465,222,278,167,6132,none,test,0.3206666666666667,f1
lgbm,lopo_scrapy/val,no_maturity,label_llm,0.28785476264352894,0.3696969696969697,0.41216216216216217,0.38977635782747605,0.6719148808622586,0.9166874071103317,0.9145413870246085,0.3445633426993641,0.6811649335008223,0.8012341522164235,0.3781900355595259,0.9501677048394825,1983,104,87,61,2235,none,val,0.28785476264352894,f1
lgbm,lopo_scrapy/test,no_maturity,label_llm,0.28785476264352894,0.42480211081794195,0.36179775280898874,0.3907766990291262,0.6734477900740037,0.9150919288961249,0.9181343770384867,0.34848311255653,0.6617323562708562,0.7876449936085257,0.3770054316624037,0.9616669597327238,5469,218,284,161,6132,none,test,0.28785476264352894,f1
xgb,lopo_scrapy/val,no_maturity,label_llm,0.4426855444908142,0.48,0.32432432432432434,0.3870967741935484,0.6755474396784891,0.9257961378329856,0.9319910514541387,0.36012792539281635,0.6497040883720329,0.7481384115308409,0.3331721326780177,0.9750838524197413,2035,52,100,48,2235,none,val,0.4426855444908142,f1
xgb,lopo_scrapy/test,no_maturity,label_llm,0.4426855444908142,0.5098039215686274,0.29213483146067415,0.37142857142857144,0.6666897267381529,0.9190966047767742,0.9282452707110241,0.35106416133050977,0.6350774385894895,0.7518365363148359,0.340957036783933,0.9780200457183049,5562,125,315,130,6132,none,test,0.4426855444908142,f1
rf,lopo_scrapy/val,no_maturity,label_llm,0.26765716991555516,0.2830188679245283,0.5067567567567568,0.36319612590799033,0.6491849498162086,0.8972978489473206,0.8823266219239374,0.31976711812518943,0.7078584933759826,0.7803001851875833,0.31189768077714886,0.9089602299952084,1897,190,73,75,2235,class_weight,val,0.26765716991555516,f1
rf,lopo_scrapy/test,no_maturity,label_llm,0.26765716991555516,0.27662721893491127,0.4202247191011236,0.33363068688670827,0.6332965424023418,0.8894688213672719,0.8781800391389433,0.2768652139783241,0.6671195689755662,0.7811272703564013,0.30892757145639593,0.9140144188500088,5198,489,258,187,6132,class_weight,test,0.26765716991555516,f1
lgbm,lopo_scrapy/val,no_maturity,label_llm,0.6458091211727544,0.3742690058479532,0.43243243243243246,0.4012539184952978,0.6776204547908915,0.9173854274428629,0.9145413870246085,0.35657388911062016,0.6905813336096038,0.7738509952213833,0.36433910312943407,0.9487302347867753,1980,107,84,64,2235,class_weight,val,0.6458091211727544,f1
lgbm,lopo_scrapy/test,no_maturity,label_llm,0.6458091211727544,0.4176904176904177,0.38202247191011235,0.39906103286384975,0.6770979892675365,0.9147805928989986,0.9165035877364645,0.3546994238898609,0.6701742392960093,0.7637788134973713,0.3619212998733219,0.9583260066819062,5450,237,275,170,6132,class_weight,test,0.6458091211727544,f1
xgb,lopo_scrapy/val,no_maturity,label_llm,0.7563198208808899,0.45918367346938777,0.30405405405405406,0.36585365853658536,0.6644609201773836,0.9235210903436063,0.9302013422818792,0.33841489326457574,0.6393293748947797,0.7341943045105479,0.294687307918136,0.9746046957355055,2034,53,103,45,2235,class_weight,val,0.7563198208808899,f1
xgb,lopo_scrapy/test,no_maturity,label_llm,0.7563198208808899,0.4711111111111111,0.23820224719101124,0.3164179104477612,0.6384573595709566,0.9137559232212813,0.9253098499673842,0.2998204781202547,0.6086386653574187,0.7292765088127268,0.3054590639958221,0.9790750835238262,5568,119,339,106,6132,class_weight,test,0.7563198208808899,f1
