bucket,n,pos_rate,f1,p,r,roc_auc,pr_auc_debt,mcc,tp,fp,fn,tn
low (<0.85),23,0.0,0.0,0.0,0.0,,,,0,16,0,7
mid (0.85-0.95),1476,0.08130081300813008,0.3347457627118644,0.22443181818181818,0.6583333333333333,0.7849987708947883,0.28092972706114494,0.29308108257311377,79,273,41,1083
high (>=0.95),2713,0.03907113896056027,0.6304347826086957,0.7435897435897436,0.5471698113207547,0.8981045226567079,0.610670885781007,0.6255698415058482,58,20,48,2587
ALL,4212,0.05365622032288699,0.40773809523809523,0.3071748878923767,0.6061946902654868,0.8623367627403878,0.3420738805785777,0.3871709025788442,137,309,89,3677
