Model,Best Threshold,Best F1,Best MCC
LightGBM,0.07630163903318685,0.3572216097023153,0.3101562420394474
Random Forest,0.26,0.42869955156950673,0.39584877461050827
XGBoost,0.07425589114427567,0.37587006960556846,0.3310177824388678
